CpG ID,Chromsoome,Position,Strand,Gene Symbol(s),Genomic Strcture(s),Relation to CpG Island,Correlation with LSI,aLIS FDR,Known Stress Gene?,Potentially Functional?
cg15237152,chr19,11649631,+,CNN1;CNN1,1stExon;5'UTR,OpenSea,0.5922415,0.00623029,FALSE,FALSE
cg12854483,chr19,11649671,+,CNN1;CNN1,1stExon;5'UTR,OpenSea,0.6104367,0.009535872,FALSE,FALSE
cg04328562,chr19,11649701,+,CNN1;CNN1,1stExon;5'UTR,OpenSea,0.5790893,0.046798157,FALSE,FALSE
cg09152619,chr19,23941313,+,ZNF681,Body,Island,0.6856209,0.003952923,FALSE,FALSE
cg08332658,chr19,23941408,+,ZNF681,Body,Island,0.7186133,0.000165685,FALSE,FALSE
cg01615818,chr19,23941438,-,ZNF681,Body,Island,0.6020302,0.000222073,FALSE,FALSE
cg07460376,chr19,23941575,+,ZNF681;ZNF681,1stExon;5'UTR,S_Shore,0.6065876,0.000391278,FALSE,FALSE
cg27517351,chr19,23941871,-,ZNF681,TSS200,S_Shore,0.6741907,0.001481332,FALSE,FALSE
cg23257184,chr19,23942040,+,ZNF681,TSS1500,S_Shore,0.4605993,0.017685977,FALSE,FALSE
cg08679971,chr19,38281047,-,NA,NA,N_Shore,0.4539201,0.03934966,FALSE,FALSE
cg13350173,chr19,38281183,-,NA,NA,Island,0.4766242,0.022792705,FALSE,FALSE
cg14218481,chr19,38281219,-,NA,NA,Island,0.461334,0.029797239,FALSE,FALSE
cg16749456,chr19,49699879,-,TRPM4,Body,Island,0.5502336,0.005497291,FALSE,FALSE
cg14325661,chr19,49699881,-,TRPM4,Body,Island,0.4083068,0.005132749,FALSE,FALSE
cg21542078,chr19,49700006,-,TRPM4,Body,Island,0.4238049,0.007914592,FALSE,FALSE
cg01382860,chr19,49700021,+,TRPM4,Body,Island,0.4565048,0.031734371,FALSE,FALSE
cg26257814,chr19,50553708,-,FLJ26850,TSS1500,N_Shore,0.4945479,0.030581453,FALSE,FALSE
cg07655045,chr19,50553883,+,FLJ26850,TSS200,N_Shore,0.4595237,0.020633444,FALSE,FALSE
cg27397787,chr19,50553907,+,FLJ26850,TSS200,N_Shore,0.1167652,0.024447059,FALSE,FALSE
cg16349876,chr19,50554013,-,FLJ26850,Body,Island,0.4285193,0.015387053,FALSE,FALSE
cg20971220,chr19,50554067,+,FLJ26850,Body,Island,0.3732224,0.01890517,FALSE,FALSE
cg26715571,chr19,50554280,+,FLJ26850,Body,Island,0.4241801,0.02215046,FALSE,FALSE
cg22531183,chr19,50554451,+,FLJ26850,Body,Island,0.414708,0.038958492,FALSE,FALSE
cg21974750,chr19,55794478,+,BRSK1,TSS1500,N_Shore,0.5261856,0.023803633,FALSE,FALSE
cg25443975,chr19,55794597,+,BRSK1,TSS1500,N_Shore,0.6085532,0.017214806,FALSE,FALSE
cg07747220,chr20,3052115,+,OXT,TSS200,Island,-0.4748868,0.035715636,TRUE,FALSE
cg16887334,chr20,3052151,+,OXT,TSS200,Island,-0.425077,0.019275485,TRUE,FALSE
cg13285174,chr20,3052221,+,OXT,TSS200,Island,-0.4726413,0.010793479,TRUE,FALSE
cg26267561,chr20,3052224,+,OXT,TSS200,Island,-0.4819754,0.009973335,TRUE,FALSE
cg01644611,chr20,3052253,+,OXT,TSS200,Island,-0.47195,0.014629816,TRUE,FALSE
cg13725599,chr20,3052262,+,OXT,TSS200,Island,-0.5366867,0.028873742,TRUE,FALSE
cg08964435,chr20,32382851,-,NA,NA,S_Shelf,0.5678152,0.048511642,FALSE,FALSE
cg08440266,chr20,48185653,-,PTGIS,TSS1500,S_Shore,-0.5472088,0.029533958,TRUE,FALSE
cg14630601,chr20,48186174,-,PTGIS,TSS1500,S_Shore,-0.5483449,0.032501908,TRUE,FALSE
cg27307781,chr21,37442289,+,CBR1;CBR1,1stExon;5'UTR,Island,0.4701696,0.025107639,TRUE,FALSE
cg16719517,chr21,37442385,+,CBR1;CBR1,1stExon;5'UTR,Island,0.4620903,0.01516939,TRUE,FALSE
cg00695416,chr21,37442476,-,CBR1,1stExon,Island,0.3788712,0.018289093,TRUE,FALSE
cg16662267,chr21,37442759,-,CBR1,Body,Island,0.4218792,0.031479324,TRUE,FALSE
cg22862003,chr21,42797588,+,MX1;MX1,TSS1500;5'UTR,N_Shore,-0.6093209,0.026153887,TRUE,FALSE
cg26312951,chr21,42797847,-,MX1;MX1,TSS200;5'UTR,N_Shore,-0.6301767,0.018165957,TRUE,FALSE
cg14897238,chr21,43198283,-,NA,NA,N_Shore,0.6704293,0.009621736,FALSE,FALSE
cg21863949,chr21,43198431,+,NA,NA,Island,0.8660024,2.20E-05,FALSE,FALSE
cg02519892,chr21,43198586,-,NA,NA,Island,0.8016354,2.79E-05,FALSE,FALSE
cg20533952,chr21,43198601,+,NA,NA,Island,0.8120074,2.52E-05,FALSE,FALSE
cg10010393,chr21,43198627,-,NA,NA,Island,0.7390351,0.002948974,FALSE,FALSE
cg05532966,chr21,43198797,-,NA,NA,S_Shore,0.5159853,0.035206858,FALSE,FALSE
cg10690747,chr21,43823835,-,UBASH3A;UBASH3A,TSS200;TSS200,OpenSea,-0.7503965,0.006430091,FALSE,FALSE
cg13578652,chr21,43823863,-,UBASH3A;UBASH3A,TSS200;TSS200,OpenSea,-0.6676216,0.002159238,FALSE,FALSE
cg00134539,chr21,43824071,+,UBASH3A;UBASH3A,1stExon;1stExon,OpenSea,-0.7436349,0.00400624,FALSE,FALSE
cg01164221,chr22,29443288,+,ZNRF3,Body,N_Shore,-0.7116623,0.048111798,FALSE,FALSE
cg06513695,chr22,29866414,-,NA,NA,Island,-0.7462287,0.000677986,FALSE,FALSE
cg05516505,chr22,29866624,-,NA,NA,Island,-0.4937487,0.001355902,FALSE,FALSE
cg18401155,chr22,29867475,-,NA,NA,S_Shore,-0.1562826,0.015496113,FALSE,FALSE
cg07054523,chr22,29870275,+,NA,NA,S_Shelf,-0.4399698,0.020880962,FALSE,FALSE
cg09507608,chr22,29873338,+,NA,NA,N_Shelf,-0.02044522,0.030321702,FALSE,FALSE
cg09828714,chr22,29875578,+,NEFH,TSS1500,N_Shore,-0.3869482,0.011694648,TRUE,FALSE
cg01907106,chr22,29875592,+,NEFH,TSS1500,N_Shore,-0.7157775,0.005961516,TRUE,FALSE
cg22234080,chr22,29876942,-,NEFH,1stExon,Island,0.7446886,0.003790008,TRUE,FALSE
cg20256245,chr22,29877285,+,NEFH,Body,S_Shore,0.7423644,0.005626567,TRUE,FALSE
cg04392554,chr22,46685472,-,TTC38,Body,Island,0.4053344,0.048645408,FALSE,FALSE
cg08471335,chr22,46685653,-,TTC38,Body,Island,0.3220581,0.046011048,FALSE,FALSE
cg03356833,chr22,46690658,+,NA,NA,N_Shore,-0.3243054,0.036614726,FALSE,FALSE
cg03482458,chr22,46692211,+,CN5H6.4;GTSE1,Body;TSS1500,Island,0.6141356,0.0045559,FALSE,FALSE
cg20174585,chr22,46692412,+,CN5H6.4;GTSE1,Body;TSS1500,Island,0.6810811,0.003353623,FALSE,FALSE
cg10231785,chr22,46692440,-,CN5H6.4;GTSE1,Body;TSS200,Island,0.6319801,0.008642483,FALSE,FALSE
cg07012999,chr22,46692446,+,CN5H6.4;GTSE1,Body;TSS200,Island,0.5901901,0.049742986,FALSE,FALSE
cg16644494,chr22,50971601,-,ODF3B,TSS1500,S_Shore,-0.5570268,0.012851845,FALSE,FALSE
cg05523603,chr22,50973101,-,NA,NA,S_Shelf,-0.5689683,0.00676415,FALSE,FALSE
cg08425796,chr22,50981121,-,NA,NA,N_Shore,-0.2766103,0.01070332,FALSE,FALSE
cg05418105,chr22,50981406,+,NA,NA,N_Shore,-0.01048764,0.046536338,FALSE,FALSE
cg18782736,chr22,50982818,+,NA,NA,Island,0.2793263,0.044179754,FALSE,FALSE
cg04158069,chr22,50982905,+,NA,NA,Island,-0.4926661,0.034308198,FALSE,FALSE
cg16888752,chrX,47077393,-,CDK16;CDK16,TSS1500;TSS200,Island,0.4085001,0.040133861,FALSE,FALSE
cg05292991,chrX,47077403,-,CDK16;CDK16,TSS1500;TSS200,Island,0.4045495,0.027192588,FALSE,FALSE
cg13907504,chrX,47077487,+,CDK16;CDK16,TSS1500;TSS200,Island,0.5494054,0.018656641,FALSE,FALSE
cg19989944,chrX,47077524,+,CDK16;CDK16,TSS1500;TSS200,Island,0.220022,0.023930031,FALSE,FALSE
cg14044580,chrX,47077815,-,CDK16;CDK16;CDK16,TSS1500;1stExon;5'UTR,Island,0.5382303,0.015605191,FALSE,FALSE
cg17334225,chrX,47077875,+,CDK16;CDK16;CDK16,1stExon;TSS200;5'UTR,Island,0.4532567,0.016393855,FALSE,FALSE
cg11333230,chrX,47077877,+,CDK16;CDK16;CDK16,1stExon;TSS200;5'UTR,Island,0.3189382,0.022665503,FALSE,FALSE
cg13638484,chrX,47077907,-,CDK16;CDK16;CDK16,1stExon;TSS200;5'UTR,Island,0.3774952,0.028228496,FALSE,FALSE
cg23212388,chrX,47077930,-,CDK16;CDK16;CDK16,1stExon;TSS200;5'UTR,Island,0.4278542,0.038171459,FALSE,FALSE
cg07464229,chrX,47091239,+,USP11,TSS1500,N_Shore,0.4968316,0.007776418,FALSE,FALSE
cg15850513,chrX,47091513,-,USP11,TSS1500,N_Shore,0.145248,0.007034795,FALSE,FALSE
cg02581653,chrX,47092037,+,USP11,TSS1500,N_Shore,0.3253776,0.008056232,FALSE,FALSE
cg25316166,chrX,47092288,+,USP11,TSS200,N_Shore,0.3826146,0.006363995,FALSE,FALSE
cg08881528,chrX,47092529,-,USP11,1stExon,N_Shore,0.5499567,0.006496492,FALSE,FALSE
cg16082125,chrX,47092560,-,USP11,1stExon,Island,0.5139073,0.013127062,FALSE,FALSE
cg22328457,chrX,47092729,-,USP11,Body,Island,0.6263654,0.04732154,FALSE,FALSE
cg13443410,chrX,48858686,+,GRIPAP1;GRIPAP1,TSS200;TSS200,OpenSea,0.6669336,0.017565962,FALSE,FALSE
cg04277998,chrX,48858688,+,GRIPAP1;GRIPAP1,TSS200;TSS200,OpenSea,0.3899093,0.04666746,FALSE,FALSE
cg21224759,chrX,71401335,+,PIN4;PIN4;PIN4,TSS200;TSS200;TSS200,OpenSea,0.5360965,0.047190421,FALSE,FALSE
cg27207932,chrX,135730306,-,CD40LG,TSS200,OpenSea,0.7519348,0.00920306,FALSE,FALSE
