Gene Symbol,Differential Expression,Whole-Gene ID,Chromosome,Genomic Coordinates,Whole Gene P-value,Whole Gene Correlation with LSI,Isoform ID,Isoform P-value,Isoform Correlation with LSI,Known Stress Gene?
PNP,Both,ENSG00000198805.7,chr14,20937113-20945253,0.036906011,-0.5012802,ENST00000556754.1,0.001240079,-0.6503397,FALSE
RNASE4,Whole-Gene-Only,ENSG00000258818.2,chr14,21152259-21168761,0.039506318,-0.4466927,NA,NA,NA,FALSE
RNASE1,Both,ENSG00000129538.9,chr14,21269387-21271437,0.007096988,-0.568146,ENST00000555698.1,2.24E-05,-0.801629,TRUE
NDRG2,Both,ENSG00000165795.16,chr14,21484922-21539031,0.032829863,-0.4796345,ENST00000397856.3,0.023569128,-0.5054073,FALSE
NDRG2,Both,ENSG00000165795.16,chr14,21484922-21539031,0.032829863,-0.4796345,ENST00000556716.1,0.013810073,-0.487467,FALSE
RNASE7,Both,ENSG00000165799.4,chr14,21510385-21512393,0.034469723,-0.4617529,ENST00000298690.4,0.038578969,-0.4767103,FALSE
LINC00641,Whole-Gene-Only,ENSG00000258441.1,chr14,21668238-21675059,0.028703959,0.6106809,NA,NA,NA,FALSE
RPGRIP1,Both,ENSG00000092200.8,chr14,21756098-21819460,0.036896099,0.4863108,ENST00000307974.4,0.022174855,0.4797355,FALSE
MMP14,Whole-Gene-Only,ENSG00000157227.8,chr14,23305766-23318236,0.041204976,-0.4143565,NA,NA,NA,TRUE
RBM23,Isoform-Only,ENST00000346528.5,chr14,23369986-23388387,NA,NA,ENST00000346528.5,0.048678647,-0.4465388,FALSE
C14orf93,Whole-Gene-Only,ENSG00000100802.10,chr14,23456110-23479375,0.01095329,0.6069081,NA,NA,NA,FALSE
PSMB5,Whole-Gene-Only,ENSG00000100804.14,chr14,23485752-23504439,0.003205073,-0.6383185,NA,NA,NA,TRUE
SLC7A8,Whole-Gene-Only,ENSG00000092068.14,chr14,23594504-23652883,0.001711042,-0.6606768,NA,NA,NA,FALSE
EFS,Whole-Gene-Only,ENSG00000100842.8,chr14,23825611-23834961,0.032946261,-0.4724793,NA,NA,NA,TRUE
NGDN,Whole-Gene-Only,ENSG00000129460.11,chr14,23938897-23979071,0.031777201,-0.4608007,NA,NA,NA,FALSE
NEDD8,Isoform-Only,ENST00000396828.4,chr14,24686063-24701509,NA,NA,ENST00000396828.4,0.014547991,-0.5500792,FALSE
GZMB,Both,ENSG00000100453.8,chr14,25100160-25103473,0.044396127,-0.3455759,ENST00000382542.1,0.029725125,-0.4563356,TRUE
RP11-320M16.1,Whole-Gene-Only,ENSG00000259045.1,chr14,32953304-32954006,0.019149106,0.5184643,NA,NA,NA,FALSE
NFKBIA,Both,ENSG00000100906.6,chr14,35870717-35873955,0.010443152,0.5917219,ENST00000216797.5,0.029066544,0.5969866,TRUE
NFKBIA,Both,ENSG00000100906.6,chr14,35870717-35873955,0.010443152,0.5917219,ENST00000555371.1,0.005710257,0.662517,TRUE
NFKBIA,Both,ENSG00000100906.6,chr14,35870717-35873955,0.010443152,0.5917219,ENST00000555629.1,0.005974378,0.6414828,TRUE
NFKBIA,Both,ENSG00000100906.6,chr14,35870717-35873955,0.010443152,0.5917219,ENST00000556664.1,0.006401265,0.6330235,TRUE
NFKBIA,Both,ENSG00000100906.6,chr14,35870717-35873955,0.010443152,0.5917219,ENST00000557389.1,0.014875641,0.5141457,TRUE
NFKBIA,Both,ENSG00000100906.6,chr14,35870717-35873955,0.010443152,0.5917219,ENST00000557459.1,0.006247435,0.6408977,TRUE
LRR1,Whole-Gene-Only,ENSG00000165501.12,chr14,50065415-50081390,0.006664736,-0.5796599,NA,NA,NA,FALSE
C14orf182,Isoform-Only,ENST00000529902.1,chr14,50458273-50473237,NA,NA,ENST00000529902.1,0.011409928,-0.5919588,FALSE
MAP4K5,Both,ENSG00000012983.7,chr14,50885219-51027844,0.027580474,-0.4931396,ENST00000013125.4,0.022332008,-0.5347877,TRUE
SAV1,Whole-Gene-Only,ENSG00000151748.10,chr14,51098776-51135049,0.011542607,-0.5433911,NA,NA,NA,FALSE
PYGL,Isoform-Only,ENST00000553872.1,chr14,51383734-51388246,NA,NA,ENST00000553872.1,0.023742649,0.5246715,TRUE
FRMD6,Isoform-Only,ENST00000554167.1,chr14,52164831-52197148,NA,NA,ENST00000554167.1,0.003311181,-0.6311596,FALSE
STYX,Isoform-Only,ENST00000442123.2,chr14,53196898-53241659,NA,NA,ENST00000442123.2,0.000314799,-0.7273095,FALSE
LGALS3,Both,ENSG00000131981.11,chr14,55590828-55612126,0.032153804,-0.4921509,ENST00000554715.1,0.034865658,-0.5039253,TRUE
LGALS3,Both,ENSG00000131981.11,chr14,55590828-55612126,0.032153804,-0.4921509,ENST00000556438.2,0.022102551,-0.5544868,TRUE
ACTR10,Isoform-Only,ENST00000554402.2,chr14,58666937-58701486,NA,NA,ENST00000554402.2,0.038749183,0.4641742,FALSE
PRKCH,Whole-Gene-Only,ENSG00000027075.9,chr14,61654277-62017694,0.036298109,-0.5082829,NA,NA,NA,TRUE
AKAP5,Isoform-Only,ENST00000394718.4,chr14,64932217-64941221,NA,NA,ENST00000394718.4,0.049942684,-0.5023766,TRUE
ARG2,Both,ENSG00000081181.3,chr14,68086515-68118437,0.005034574,-0.5966945,ENST00000261783.3,0.023911554,-0.5112519,TRUE
MED6,Isoform-Only,ENST00000430055.2,chr14,71050803-71067372,NA,NA,ENST00000430055.2,0.029839081,-0.5010986,FALSE
CTD-2540L5.6,Both,ENSG00000245466.1,chr14,71075515-71108015,0.013106432,-0.4669166,ENST00000500016.1,0.034345617,-0.4428728,FALSE
TTC9,Whole-Gene-Only,ENSG00000133985.2,chr14,71108504-71142077,0.045377184,-0.4649669,NA,NA,NA,FALSE
ACOT2,Whole-Gene-Only,ENSG00000119673.10,chr14,74034324-74042357,0.006419727,-0.6047978,NA,NA,NA,FALSE
PNMA1,Both,ENSG00000176903.3,chr14,74178494-74181128,0.018877792,-0.4305186,ENST00000316836.3,0.015274294,-0.4907885,FALSE
NPC2,Isoform-Only,ENST00000556009.1,chr14,74946799-74960880,NA,NA,ENST00000556009.1,0.004884273,-0.5698315,TRUE
EIF2B2,Whole-Gene-Only,ENSG00000119718.6,chr14,75469614-75476292,0.029849478,-0.482361,NA,NA,NA,TRUE
FOS,Both,ENSG00000170345.5,chr14,75745477-75748933,0.00990538,0.5921425,ENST00000303562.4,0.009955245,0.6299813,TRUE
FOS,Both,ENSG00000170345.5,chr14,75745477-75748933,0.00990538,0.5921425,ENST00000554617.1,0.048127998,0.4813075,TRUE
FOS,Both,ENSG00000170345.5,chr14,75745477-75748933,0.00990538,0.5921425,ENST00000555242.1,0.040695624,0.5113963,TRUE
FOS,Both,ENSG00000170345.5,chr14,75745477-75748933,0.00990538,0.5921425,ENST00000555347.1,0.025904304,0.5428539,TRUE
FOS,Both,ENSG00000170345.5,chr14,75745477-75748933,0.00990538,0.5921425,ENST00000556324.2,0.03725529,0.5010162,TRUE
KIAA1737,Both,ENSG00000198894.3,chr14,77564440-77583630,0.033283697,-0.5156536,ENST00000361786.2,0.02665749,-0.5562824,FALSE
GSTZ1,Whole-Gene-Only,ENSG00000100577.14,chr14,77787227-77797940,0.004794637,-0.5854786,NA,NA,NA,TRUE
TMED8,Whole-Gene-Only,ENSG00000100580.7,chr14,77801364-77843452,0.014457968,0.5650169,NA,NA,NA,FALSE
DIO2,Isoform-Only,ENST00000557010.1,chr14,80663873-80697397,NA,NA,ENST00000557010.1,0.000751151,-0.6027197,TRUE
CTD-2320B12.1,Both,ENSG00000258923.2,chr14,84640135-84641854,0.029897452,-0.4763836,ENST00000557537.2,0.03180926,-0.4886782,FALSE
KCNK13,Both,ENSG00000152315.4,chr14,90528109-90652201,0.000756583,-0.629621,ENST00000282146.4,0.00291015,-0.6052032,FALSE
CTD-2547L24.4,Whole-Gene-Only,ENSG00000260810.1,chr14,91724643-91725347,0.009948919,0.5643486,NA,NA,NA,FALSE
DDX24,Isoform-Only,ENST00000555762.1,chr14,94517266-94547544,NA,NA,ENST00000555762.1,0.001444119,-0.6837077,TRUE
IFI27,Isoform-Only,ENST00000556544.1,chr14,94577093-94582784,NA,NA,ENST00000556544.1,0.000927582,-0.6946589,FALSE
IFI27,Isoform-Only,ENST00000298902.5,chr14,94577095-94583032,NA,NA,ENST00000298902.5,0.034941017,-0.4753335,FALSE
SERPINA3,Whole-Gene-Only,ENSG00000196136.12,chr14,95078714-95090392,0.019135822,-0.5104308,NA,NA,NA,FALSE
GLRX5,Isoform-Only,ENST00000553672.1,chr14,95999840-96010894,NA,NA,ENST00000553672.1,0.045290973,-0.4806338,FALSE
CCNK,Isoform-Only,ENST00000553865.1,chr14,99960307-99977851,NA,NA,ENST00000553865.1,0.025654349,-0.5204273,TRUE
CCDC85C,Isoform-Only,ENST00000557769.1,chr14,99978369-99988900,NA,NA,ENST00000557769.1,0.041585583,-0.4944227,FALSE
WASH3P,Isoform-Only,ENST00000398121.4,chr15,102501820-102516768,NA,NA,ENST00000398121.4,0.049939205,0.444155,FALSE
TUBGCP5,Whole-Gene-Only,ENSG00000153575.6,chr15,22833395-22873892,0.022433073,-0.5161792,NA,NA,NA,FALSE
HERC2P2,Isoform-Only,ENST00000454333.2,chr15,23282281-23326653,NA,NA,ENST00000454333.2,0.015078913,-0.5604184,FALSE
TJP1,Both,ENSG00000104067.12,chr15,29991571-30261068,0.046554691,-0.4729459,ENST00000356107.6,0.038773308,-0.4929406,TRUE
TJP1,Both,ENSG00000104067.12,chr15,29991571-30261068,0.046554691,-0.4729459,ENST00000400007.4,0.011314928,-0.5818088,TRUE
KATNBL1,Both,ENSG00000134152.6,chr15,34432875-34502297,0.025110231,0.4777221,ENST00000559760.1,0.013910519,0.5330581,FALSE
GOLGA8A,Both,ENSG00000175265.13,chr15,34671269-34880704,0.047129522,-0.4819273,ENST00000432566.2,0.04654423,-0.5000207,FALSE
RP11-521C20.1,Both,ENSG00000259239.1,chr15,40425969-40427415,0.017708509,-0.5150987,ENST00000559747.1,0.026382195,-0.5045152,FALSE
RMDN3,Whole-Gene-Only,ENSG00000137824.11,chr15,41028082-41048049,0.020951424,-0.5230353,NA,NA,NA,FALSE
JMJD7-PLA2G4B,Isoform-Only,ENST00000490848.1,chr15,42120293-42140353,NA,NA,ENST00000490848.1,0.013314637,-0.5478215,FALSE
CASC4,Whole-Gene-Only,ENSG00000166734.14,chr15,44580927-44707956,0.042029572,0.5327635,NA,NA,NA,FALSE
CTDSPL2,Isoform-Only,ENST00000260327.4,chr15,44719432-44821236,NA,NA,ENST00000260327.4,0.045739633,0.3658144,TRUE
B2M,Isoform-Only,ENST00000559907.1,chr15,45004125-45009902,NA,NA,ENST00000559907.1,0.038136324,0.4619586,FALSE
DUOX2,Both,ENSG00000140279.8,chr15,45384848-45406542,0.009763721,-0.572684,ENST00000603300.1,0.008736286,-0.6088417,TRUE
GATM,Whole-Gene-Only,ENSG00000171766.11,chr15,45653322-45694525,0.03732005,-0.4872252,NA,NA,NA,TRUE
SPATA5L1,Whole-Gene-Only,ENSG00000171763.13,chr15,45694529-45713617,0.02718951,-0.5317272,NA,NA,NA,FALSE
RP11-519G16.3,Whole-Gene-Only,ENSG00000259354.1,chr15,45740625-45805965,0.024701338,-0.5080215,NA,NA,NA,FALSE
HMGN2P46,Whole-Gene-Only,ENSG00000179362.10,chr15,45803334-45878488,0.035225815,-0.4570694,NA,NA,NA,FALSE
COPS2,Isoform-Only,ENST00000542928.1,chr15,49419733-49447801,NA,NA,ENST00000542928.1,0.003379887,-0.6303412,FALSE
LYSMD2,Whole-Gene-Only,ENSG00000140280.9,chr15,52015208-52043782,0.033999843,0.4989739,NA,NA,NA,TRUE
FAM214A,Isoform-Only,ENST00000546305.2,chr15,52874050-52944247,NA,NA,ENST00000546305.2,0.029786356,-0.4696781,FALSE
PIGB,Isoform-Only,ENST00000565502.1,chr15,55632951-55647842,NA,NA,ENST00000565502.1,0.026269745,0.4522563,FALSE
CGNL1,Isoform-Only,ENST00000557813.1,chr15,57669344-57699472,NA,NA,ENST00000557813.1,0.015514836,-0.530441,TRUE
POLR2M,Whole-Gene-Only,ENSG00000255529.3,chr15,57884231-58074960,0.034841686,-0.474743,NA,NA,NA,FALSE
CTD-2330J20.1,Both,ENSG00000259651.2,chr15,58442474-58442762,0.015433176,-0.5058839,ENST00000561363.2,0.011713718,-0.5472194,FALSE
BNIP2,Isoform-Only,ENST00000477543.1,chr15,59971455-59981508,NA,NA,ENST00000477543.1,0.003744627,-0.609578,FALSE
ANXA2,Both,ENSG00000182718.12,chr15,60639333-60695082,0.025432131,-0.5257652,ENST00000396024.3,0.006820535,-0.5893528,TRUE
APH1B,Isoform-Only,ENST00000261879.5,chr15,63569753-63601325,NA,NA,ENST00000261879.5,0.031542699,0.5259149,FALSE
DAPK2,Both,ENSG00000035664.7,chr15,64199235-64364232,0.02625043,0.5108738,ENST00000457488.1,0.011993735,-0.5206148,FALSE
RP11-702L15.4,Both,ENSG00000259682.1,chr15,64762452-64763563,0.000122725,0.7735091,ENST00000558443.1,0.000269237,0.8037594,FALSE
OAZ2,Both,ENSG00000180304.10,chr15,64979772-64995480,0.047017372,0.4999949,ENST00000326005.6,0.037174266,0.538977,FALSE
OAZ2,Both,ENSG00000180304.10,chr15,64979772-64995480,0.047017372,0.4999949,ENST00000559753.1,9.41E-05,-0.7566163,FALSE
MAP2K1,Whole-Gene-Only,ENSG00000169032.5,chr15,66679155-66784650,0.049676528,-0.5069845,NA,NA,NA,TRUE
SMAD3,Isoform-Only,ENST00000558763.1,chr15,67479000-67483859,NA,NA,ENST00000558763.1,0.013276111,-0.5279204,TRUE
MYO9A,Whole-Gene-Only,ENSG00000066933.11,chr15,72114632-72410918,0.043363676,-0.4487762,NA,NA,NA,FALSE
PML,Isoform-Only,ENST00000563500.1,chr15,74287144-74328734,NA,NA,ENST00000563500.1,0.023479162,-0.5101562,TRUE
SEMA7A,Both,ENSG00000138623.5,chr15,74701630-74726808,0.012774557,-0.5526922,ENST00000542748.1,0.020555831,-0.5735022,FALSE
SEMA7A,Both,ENSG00000138623.5,chr15,74701630-74726808,0.012774557,-0.5526922,ENST00000569617.1,0.017425751,-0.5530789,FALSE
EDC3,Isoform-Only,ENST00000315127.4,chr15,74922899-74988384,NA,NA,ENST00000315127.4,0.036517333,-0.5068828,FALSE
CSK,Isoform-Only,ENST00000563010.1,chr15,75093971-75094938,NA,NA,ENST00000563010.1,0.033387997,0.4824721,TRUE
FAM219B,Isoform-Only,ENST00000563119.1,chr15,75192333-75199178,NA,NA,ENST00000563119.1,0.044719229,-0.4464893,FALSE
AC105020.1,Isoform-Only,ENST00000435356.1,chr15,75970672-75973093,NA,NA,ENST00000435356.1,0.044814341,-0.469462,FALSE
MIR4313,Both,ENSG00000261043.2,chr15,76051842-76054746,0.012476409,0.5337961,ENST00000561777.1,0.02548184,0.5114988,FALSE
ISL2,Whole-Gene-Only,ENSG00000159556.5,chr15,76629065-76634817,0.008049082,0.5733834,NA,NA,NA,FALSE
CIB2,Whole-Gene-Only,ENSG00000136425.8,chr15,78396948-78423886,0.016460974,-0.5282265,NA,NA,NA,FALSE
IDH3A,Both,ENSG00000166411.9,chr15,78423840-78464291,0.013361782,-0.6191782,ENST00000558535.1,0.025900267,-0.5258797,FALSE
ACSBG1,Whole-Gene-Only,ENSG00000103740.5,chr15,78459810-78538030,0.021886783,-0.5046474,NA,NA,NA,FALSE
WDR61,Whole-Gene-Only,ENSG00000140395.4,chr15,78570177-78592136,0.01185739,-0.5562536,NA,NA,NA,FALSE
MORF4L1,Isoform-Only,ENST00000561171.1,chr15,79165367-79189856,NA,NA,ENST00000561171.1,0.022163903,-0.5161414,FALSE
KIAA1199,Isoform-Only,ENST00000220244.3,chr15,81071684-81244117,NA,NA,ENST00000220244.3,0.027595707,-0.4585988,FALSE
RPL9P9,Isoform-Only,ENST00000466501.1,chr15,82664514-82665092,NA,NA,ENST00000466501.1,0.029278885,-0.4724755,FALSE
RPL9P8,Isoform-Only,ENST00000467036.1,chr15,83041055-83041633,NA,NA,ENST00000467036.1,0.029278885,-0.4724755,FALSE
SH3GL3,Whole-Gene-Only,ENSG00000140600.12,chr15,84115980-84287495,0.048921069,-0.4421943,NA,NA,NA,FALSE
RP11-561C5.4,Whole-Gene-Only,ENSG00000229212.3,chr15,85747141-85778026,0.034306531,-0.4680712,NA,NA,NA,FALSE
AEN,Both,ENSG00000181026.13,chr15,89164527-89175513,0.035468193,-0.4927328,ENST00000332810.3,0.043095996,-0.5022892,TRUE
MAN2A2,Isoform-Only,ENST00000558161.1,chr15,91446156-91464421,NA,NA,ENST00000558161.1,0.018840433,-0.5108881,FALSE
MAN2A2,Isoform-Only,ENST00000558374.1,chr15,91459757-91463196,NA,NA,ENST00000558374.1,0.007146751,-0.6257482,FALSE
RP11-24J19.1,Both,ENSG00000258761.1,chr15,92706028-92715666,0.014154865,0.5295976,ENST00000557683.1,0.031851818,0.4910651,FALSE
SNRNP25,Isoform-Only,ENST00000383018.3,chr16,103829-107668,NA,NA,ENST00000383018.3,0.026418295,-0.507438,FALSE
RHBDF1,Isoform-Only,ENST00000428730.1,chr16,108061-115037,NA,NA,ENST00000428730.1,0.004396998,-0.5310827,FALSE
CIITA,Isoform-Only,ENST00000571545.1,chr16,11022021-11026079,NA,NA,ENST00000571545.1,0.035381447,-0.4822942,FALSE
TPSB2,Whole-Gene-Only,ENSG00000197253.9,chr16,1277272-1280214,0.010679612,-0.5566019,NA,NA,NA,FALSE
KIAA0430,Isoform-Only,ENST00000540441.2,chr16,15688244-15736881,NA,NA,ENST00000540441.2,0.044841387,0.459045,FALSE
NDE1,Both,ENSG00000072864.8,chr16,15737124-15820210,0.015865982,0.543977,ENST00000571896.1,0.049479479,0.4810437,TRUE
NDE1,Both,ENSG00000072864.8,chr16,15737124-15820210,0.015865982,0.543977,ENST00000576502.1,0.03148759,0.5057014,TRUE
ITPRIPL2,Both,ENSG00000205730.5,chr16,19125254-19132946,0.014299893,-0.5754237,ENST00000381440.3,0.018252122,-0.5935392,TRUE
TMC5,Both,ENSG00000103534.12,chr16,19421818-19510435,0.022421682,-0.4747014,ENST00000542583.2,0.000670817,-0.670778,FALSE
CRYM,Both,ENSG00000103316.6,chr16,21250195-21314404,0.037333094,-0.4573332,ENST00000396023.2,0.046404613,-0.4548269,FALSE
CRYM,Both,ENSG00000103316.6,chr16,21250195-21314404,0.037333094,-0.4573332,ENST00000415987.2,0.046404613,-0.4548269,FALSE
CTD-2547E10.2,Isoform-Only,ENST00000520823.2,chr16,21458004-21478481,NA,NA,ENST00000520823.2,0.009335707,-0.5358072,FALSE
METTL9,Isoform-Only,ENST00000567404.1,chr16,21608543-21666645,NA,NA,ENST00000567404.1,0.04456456,-0.4507752,FALSE
PGP,Both,ENSG00000184207.8,chr16,2261998-2264808,0.042617825,0.4617914,ENST00000333503.7,0.038065928,0.472508,FALSE
DCTN5,Isoform-Only,ENST00000300087.2,chr16,23652713-23681195,NA,NA,ENST00000300087.2,0.032313006,-0.4956199,FALSE
CTD-3203P2.2,Whole-Gene-Only,ENSG00000245888.2,chr16,27279526-27301813,0.043694794,0.4752654,NA,NA,NA,FALSE
IL4R,Isoform-Only,ENST00000562968.1,chr16,27356229-27356923,NA,NA,ENST00000562968.1,0.029836489,-0.5181212,FALSE
PRSS27,Isoform-Only,ENST00000566492.1,chr16,2764947-2768525,NA,NA,ENST00000566492.1,0.023905701,-0.5052867,FALSE
CLN3,Isoform-Only,ENST00000355477.5,chr16,28488601-28503381,NA,NA,ENST00000355477.5,0.00041519,-0.7263359,FALSE
ZG16B,Isoform-Only,ENST00000571723.1,chr16,2880307-2881174,NA,NA,ENST00000571723.1,0.005086815,-0.532485,FALSE
TUFM,Isoform-Only,ENST00000565012.1,chr16,28855273-28857651,NA,NA,ENST00000565012.1,0.030524136,-0.4976801,FALSE
CD2BP2,Isoform-Only,ENST00000569466.1,chr16,30364168-30366255,NA,NA,ENST00000569466.1,0.042595736,-0.4581971,FALSE
ITGAL,Whole-Gene-Only,ENSG00000005844.13,chr16,30483979-30534506,0.043366902,0.5204978,NA,NA,NA,TRUE
IL32,Whole-Gene-Only,ENSG00000008517.12,chr16,3115298-3131908,0.016239861,0.5430059,NA,NA,NA,FALSE
AXIN1,Isoform-Only,ENST00000461023.1,chr16,337440-396322,NA,NA,ENST00000461023.1,0.008328096,0.5810039,TRUE
RP11-433P17.2,Both,ENSG00000263177.1,chr16,3419957-3420906,8.16E-05,-0.7680728,ENST00000571424.1,0.000166181,-0.7743838,FALSE
MGRN1,Isoform-Only,ENST00000399577.5,chr16,4674869-4740973,NA,NA,ENST00000399577.5,0.008404782,-0.5718394,FALSE
PPL,Whole-Gene-Only,ENSG00000118898.11,chr16,4932508-5010742,0.04530682,-0.4637473,NA,NA,NA,TRUE
RP11-327F22.2,Whole-Gene-Only,ENSG00000261644.1,chr16,50769624-50774627,0.030996971,0.5015745,NA,NA,NA,FALSE
CYLD,Isoform-Only,ENST00000562884.1,chr16,50827528-50828799,NA,NA,ENST00000562884.1,0.036339042,-0.496089,TRUE
CES1,Whole-Gene-Only,ENSG00000198848.8,chr16,55836763-55867249,0.002368281,-0.596504,NA,NA,NA,FALSE
OGFOD1,Isoform-Only,ENST00000566157.1,chr16,56485402-56513012,NA,NA,ENST00000566157.1,0.006149213,-0.6236819,TRUE
RSPRY1,Isoform-Only,ENST00000564530.1,chr16,57253584-57274358,NA,NA,ENST00000564530.1,0.032412206,0.4721497,FALSE
GPR97,Isoform-Only,ENST00000327655.6,chr16,57702157-57723975,NA,NA,ENST00000327655.6,0.024998545,0.507809,FALSE
KIFC3,Isoform-Only,ENST00000465878.2,chr16,57792129-57831676,NA,NA,ENST00000465878.2,0.014205409,-0.5569402,FALSE
SLC38A7,Both,ENSG00000103042.4,chr16,58699013-58719008,0.023356518,-0.470244,ENST00000219320.4,0.015149083,-0.5503837,FALSE
WASH4P,Isoform-Only,ENST00000495251.1,chr16,64085-69409,NA,NA,ENST00000495251.1,0.027632649,0.4811605,FALSE
RP11-256I9.2,Both,ENSG00000260834.1,chr16,65224876-65268817,0.034584623,-0.4993866,ENST00000567058.1,0.028217186,-0.5362818,FALSE
CMTM4,Isoform-Only,ENST00000330687.4,chr16,66648653-66730610,NA,NA,ENST00000330687.4,0.007817631,-0.6073198,FALSE
TRADD,Isoform-Only,ENST00000345057.4,chr16,67188083-67194201,NA,NA,ENST00000345057.4,0.026800812,0.5135963,FALSE
FHOD1,Isoform-Only,ENST00000567561.1,chr16,67264232-67265961,NA,NA,ENST00000567561.1,0.017413327,0.5533861,TRUE
DPEP3,Whole-Gene-Only,ENSG00000141096.4,chr16,68009566-68014732,0.046945846,0.4604187,NA,NA,NA,FALSE
DPEP2,Isoform-Only,ENST00000572888.1,chr16,68021409-68027766,NA,NA,ENST00000572888.1,0.044105557,0.4718317,FALSE
SMPD3,Whole-Gene-Only,ENSG00000103056.7,chr16,68392231-68482591,0.014193922,-0.4973086,NA,NA,NA,TRUE
NOB1,Whole-Gene-Only,ENSG00000141101.8,chr16,69775770-69788843,0.009084651,-0.5592079,NA,NA,NA,FALSE
RP11-419C5.2,Whole-Gene-Only,ENSG00000226232.4,chr16,70010291-70030091,0.013148319,-0.54229,NA,NA,NA,FALSE
VAC14,Isoform-Only,ENST00000567648.1,chr16,70721342-70729496,NA,NA,ENST00000567648.1,0.017561584,-0.5466786,FALSE
CMTR2,Both,ENSG00000180917.12,chr16,71315292-71323618,0.044903263,-0.452568,ENST00000434935.2,0.030733184,-0.5098217,FALSE
ZNF23,Whole-Gene-Only,ENSG00000167377.13,chr16,71481500-71496998,0.009806165,-0.5680093,NA,NA,NA,FALSE
AP1G1,Isoform-Only,ENST00000570052.1,chr16,71766288-71768502,NA,NA,ENST00000570052.1,0.007773946,-0.5856803,FALSE
JMJD8,Isoform-Only,ENST00000609261.1,chr16,731703-734334,NA,NA,ENST00000609261.1,0.036137783,-0.4797263,FALSE
PLCG2,Isoform-Only,ENST00000567373.1,chr16,81970952-81973664,NA,NA,ENST00000567373.1,0.019722901,0.5313278,TRUE
TLDC1,Isoform-Only,ENST00000343629.6,chr16,84511681-84538364,NA,NA,ENST00000343629.6,0.010325441,-0.5932801,FALSE
BANP,Whole-Gene-Only,ENSG00000172530.15,chr16,87982850-88110924,0.047015071,0.4501644,NA,NA,NA,TRUE
RNF166,Isoform-Only,ENST00000541206.2,chr16,88762944-88770025,NA,NA,ENST00000541206.2,0.043453377,0.4650148,FALSE
RNF166,Isoform-Only,ENST00000564894.1,chr16,88767164-88768058,NA,NA,ENST00000564894.1,0.032761432,0.4953494,FALSE
CARHSP1,Isoform-Only,ENST00000561530.1,chr16,8948778-8962218,NA,NA,ENST00000561530.1,0.013905476,-0.5432539,TRUE
POLR3K,Both,ENSG00000161980.5,chr16,96407-103628,0.00637113,-0.5894993,ENST00000293860.5,0.001204012,-0.7182443,FALSE
HS3ST3B1,Both,ENSG00000125430.4,chr17,14204400-14252721,0.046425536,-0.4665795,ENST00000360954.2,0.04732844,-0.5006407,FALSE
PMP22,Whole-Gene-Only,ENSG00000109099.9,chr17,15133095-15168643,0.007206133,-0.5368606,NA,NA,NA,TRUE
CDRT1,Whole-Gene-Only,ENSG00000241322.4,chr17,15468798-15522826,0.024728094,-0.4850189,NA,NA,NA,FALSE
TRIM16,Both,ENSG00000221926.7,chr17,15531274-15587625,0.013803394,-0.5652398,ENST00000336708.7,0.009830448,-0.6156504,FALSE
UBB,Isoform-Only,ENST00000395837.1,chr17,16284655-16286054,NA,NA,ENST00000395837.1,0.045055623,0.4255517,TRUE
C17orf76-AS1,Isoform-Only,ENST00000580180.1,chr17,16342299-16345144,NA,NA,ENST00000580180.1,0.014893919,-0.4958983,FALSE
C17orf76-AS1,Isoform-Only,ENST00000483140.1,chr17,16342641-16345337,NA,NA,ENST00000483140.1,0.01558063,-0.5430815,FALSE
SERPINF1,Both,ENSG00000132386.6,chr17,1665253-1680868,0.03602946,-0.4124121,ENST00000572517.1,0.030169892,-0.4124939,TRUE
TNFRSF13B,Whole-Gene-Only,ENSG00000240505.4,chr17,16832849-16875432,0.032231179,-0.475518,NA,NA,NA,FALSE
MPRIP,Isoform-Only,ENST00000579361.1,chr17,17082872-17088874,NA,NA,ENST00000579361.1,0.033197237,-0.5204692,TRUE
MED9,Whole-Gene-Only,ENSG00000141026.4,chr17,17380300-17396540,0.031183931,-0.4745187,NA,NA,NA,FALSE
ALDH3A1,Both,ENSG00000108602.13,chr17,19641297-19652256,0.023509088,-0.4951388,ENST00000494157.2,0.043412844,-0.463673,TRUE
SPECC1,Both,ENSG00000128487.12,chr17,19912657-20222339,0.021545142,-0.5351034,ENST00000395530.2,0.017471934,-0.5525295,FALSE
SPECC1,Both,ENSG00000128487.12,chr17,19912657-20222339,0.021545142,-0.5351034,ENST00000581399.1,0.000314645,-0.7142285,FALSE
MTND1P15,Both,ENSG00000264168.1,chr17,22024064-22025022,0.017336925,-0.5601069,ENST00000579262.1,0.032484988,-0.5632537,FALSE
RP11-846F4.6,Both,ENSG00000240103.2,chr17,22026650-22028896,0.016920868,-0.5596333,ENST00000463573.2,0.036797397,-0.5443368,FALSE
LYRM9,Whole-Gene-Only,ENSG00000232859.5,chr17,26205340-26221778,0.037415236,-0.5002151,NA,NA,NA,FALSE
POLDIP2,Isoform-Only,ENST00000003607.4,chr17,26674203-26684545,NA,NA,ENST00000003607.4,0.018922062,-0.476977,FALSE
SUPT6H,Isoform-Only,ENST00000583972.1,chr17,27015688-27018867,NA,NA,ENST00000583972.1,0.024203753,-0.5278004,FALSE
